StationName,Balance_0,Balance_1,Balance_2,Balance_3,Balance_4,Balance_5,Balance_6,Balance_7,Balance_8,Balance_9,Balance_10,Balance_11,Balance_12,Balance_13,Balance_14,Balance_15,Balance_16,Balance_17,Balance_18,Balance_19,Balance_20,Balance_21,Balance_22,Balance_23,Total_0,Total_1,Total_2,Total_3,Total_4,Total_5,Total_6,Total_7,Total_8,Total_9,Total_10,Total_11,Total_12,Total_13,Total_14,Total_15,Total_16,Total_17,Total_18,Total_19,Total_20,Total_21,Total_22,Total_23
Driggs Ave & Lorimer St,1,-1,4,2,0,0,1,3,-3,-1,0,-3,-1,1,3,-1,0,3,4,0,-1,3,-3,-2,1,5,6,6,2,4,5,5,7,4,4,5,5,1,7,7,4,5,4,2,3,7,3,2
Bayard St & Baxter St,-5,-8,-2,7,1,-5,7,4,7,6,0,3,-6,-5,3,-4,0,-7,2,-1,8,-3,-3,0,25,18,15,17,14,13,15,18,19,12,16,15,18,12,19,22,20,17,12,9,19,11,29,12
Barclay St & Church St,-4,4,8,0,-9,5,-1,-2,-9,-1,3,-8,-7,3,3,-2,3,-2,5,-7,-2,11,-7,-2,48,45,54,44,45,39,39,34,33,35,43,38,39,33,53,42,31,40,47,55,32,39,49,40
Greenwich St & N Moore St,2,-5,-8,-4,-14,0,14,-1,6,1,2,-4,7,1,-7,0,6,2,-2,7,1,6,7,0,30,27,31,32,30,26,32,35,22,23,26,32,31,27,34,28,28,20,26,27,31,18,25,20
E 15 St & 3 Ave,-1,-6,-2,-3,-8,4,-2,5,-3,-4,-4,0,2,2,4,-13,-2,6,0,7,7,-12,5,0,32,26,30,27,30,30,30,27,23,36,30,27,40,30,34,29,38,24,36,21,31,28,25,32
E 20 St & Park Ave,3,-7,-1,-4,-4,4,-5,-2,-8,-6,7,-3,-5,-1,-1,2,-11,6,-7,-2,7,-4,1,-2,41,33,45,27,30,38,39,41,32,32,29,33,49,31,32,28,27,34,29,28,33,42,29,38
India St & Manhattan Ave,0,-1,0,2,-1,0,3,-2,-4,0,2,1,1,-1,-4,-5,4,-1,0,1,2,1,0,-4,4,1,3,2,7,8,7,6,5,2,8,5,9,7,8,9,7,5,8,5,8,5,4,6
Kosciuszko St & Nostrand Ave,0,1,0,0,-2,-1,3,1,-1,-2,-3,-1,-3,-2,3,2,1,0,-1,-1,2,1,2,0,0,1,0,0,2,1,5,1,1,2,5,1,3,2,3,4,1,0,1,1,2,1,2,0
E 25 St & 2 Ave,-7,3,3,-1,18,1,-6,1,-2,6,-4,3,-1,3,7,4,-3,7,-5,-10,-1,0,6,0,31,35,33,41,36,41,30,33,28,40,38,47,33,33,41,38,45,37,39,48,35,26,31,47
E 14 St & Avenue B,-6,-1,-6,1,1,17,-6,-3,3,4,2,-11,-1,-4,8,12,10,5,2,-5,-14,2,8,0,43,37,36,35,45,34,48,39,53,52,27,47,47,46,30,38,34,39,35,43,42,50,38,38
